x	y	spp1	var1	var2
-7.025490185	37.3891558	0	75	294
-7.025490185	37.8891558	0	76	312
-7.025490185	53.3891558	0	87	188
-7.025490185	52.8891558	0	92	195
-7.025490185	53.8891558	0	100	182
-7.025490185	39.8891558	0	100	324
-7.025490185	54.3891558	0	107	182
-7.025490185	39.3891558	0	107	311
-7.025490185	52.3891558	0	110	195
-7.025490185	54.8891558	0	117	173
-7.025490185	40.3891558	0	131	298
-7.025490185	43.3891558	0	132	234
-7.025490185	41.8891558	0	135	270
-7.025490185	42.8891558	0	137	244
-7.025490185	40.8891558	0	142	288
-7.025490185	41.3891558	0	156	272
-7.025490185	42.3891558	0	159	228
-6.525490185	38.8891558	0	73	337
-6.525490185	39.3891558	0	75	335
-6.525490185	38.3891558	0	77	332
-6.525490185	37.3891558	0	78	302
-6.525490185	39.8891558	0	79	328
-6.525490185	37.8891558	0	79	320
-6.525490185	53.8891558	0	91	188
-6.525490185	53.3891558	0	93	191
-6.525490185	41.8891558	0	97	282
-6.525490185	54.3891558	0	99	181
-6.525490185	41.3891558	0	104	281
-6.525490185	40.8891558	0	105	287
-6.525490185	52.8891558	0	107	196
-6.525490185	52.3891558	0	109	192
-6.525490185	42.8891558	0	113	249
-6.525490185	54.8891558	0	128	165
-6.525490185	43.3891558	0	131	229
-6.525490185	40.3891558	0	134	265
-6.525490185	58.3891558	0	135	152
-6.525490185	42.3891558	0	166	197
-6.025490185	39.8891558	0	59	338
-6.025490185	40.3891558	0	65	319
-6.025490185	38.8891558	0	66	349
-6.025490185	39.3891558	0	67	337
-6.025490185	41.3891558	0	68	290
-6.025490185	41.8891558	0	72	281
-6.025490185	40.8891558	0	74	292
-6.025490185	37.8891558	0	82	345
-6.025490185	38.3891558	0	83	335
-6.025490185	37.3891558	0	83	333
-6.025490185	36.8891558	0	91	292
-6.025490185	54.8891558	0	95	183
-6.025490185	42.3891558	0	98	250
-6.025490185	54.3891558	0	104	185
-6.025490185	42.8891558	0	109	241
-6.025490185	43.3891558	0	116	242
-6.025490185	55.8891558	0	158	170
-6.025490185	57.3891558	0	209	158
-5.525490185	41.8891558	0	49	292
-5.525490185	41.3891558	0	51	288
-5.525490185	39.8891558	0	51	339
-5.525490185	40.8891558	0	59	287
-5.525490185	39.3891558	0	59	349
-5.525490185	42.3891558	0	63	285
-5.525490185	40.3891558	0	66	293
-5.525490185	38.8891558	0	72	346
-5.525490185	38.3891558	0	84	345
-5.525490185	37.8891558	0	86	356
-5.525490185	37.3891558	0	91	347
-5.525490185	42.8891558	0	93	254
-5.525490185	43.3891558	1	113	240
-5.525490185	36.8891558	0	114	298
-5.525490185	36.3891558	0	141	273
-5.525490185	56.8891558	1	204	178
-5.525490185	57.3891558	1	216	161
-5.025490185	41.3891558	0	45	292
-5.025490185	39.8891558	0	46	339
-5.025490185	41.8891558	0	47	293
-5.025490185	40.8891558	0	52	288
-5.025490185	39.3891558	0	57	348
-5.025490185	42.3891558	0	59	283
-5.025490185	38.8891558	0	74	349
-5.025490185	42.8891558	0	86	254
-5.025490185	38.3891558	0	88	351
-5.025490185	37.8891558	0	88	361
-5.025490185	40.3891558	0	94	241
-5.025490185	37.3891558	0	101	336
-5.025490185	43.3891558	1	106	238
-5.025490185	36.8891558	0	120	297
-5.025490185	58.3891558	1	124	173
-5.025490185	50.3891558	1	135	191
-5.025490185	57.8891558	1	183	153
-5.025490185	56.3891558	1	231	177
-5.025490185	56.8891558	1	232	181
-5.025490185	57.3891558	1	238	148
-4.525490185	40.3891558	0	43	320
-4.525490185	41.3891558	0	47	292
